Изборна единица,Општина,Избирачко место,Подносител на листа,Освоени гласови
1,АЕРОДРОМ,2686,ГЛАС ЗА МАКЕДОНИЈА,2
1,АЕРОДРОМ,2686,ГДУ,1
1,АЕРОДРОМ,2686,ИНТЕГРА,6
1,АЕРОДРОМ,2686,ДУИ,1
1,АЕРОДРОМ,2686,СДУ,1
1,АЕРОДРОМ,2686,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2686,МОРО,1
1,АЕРОДРОМ,2686,ВМРО - ДПМНЕ и други,93
1,АЕРОДРОМ,2686,ТВОЈА,1
1,АЕРОДРОМ,2687,ДПА,0
1,АЕРОДРОМ,2687,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2687,КОАЛИЦИЈА МОЖЕМЕ,127
1,АЕРОДРОМ,2687,ЛЕВИЦА,38
1,АЕРОДРОМ,2687,АА / A,0
1,АЕРОДРОМ,2687,ГЛАС ЗА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2687,ГДУ,4
1,АЕРОДРОМ,2687,ИНТЕГРА,6
1,АЕРОДРОМ,2687,ДУИ,0
1,АЕРОДРОМ,2687,СДУ,1
1,АЕРОДРОМ,2687,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2687,МОРО,1
1,АЕРОДРОМ,2687,ВМРО - ДПМНЕ и други,78
1,АЕРОДРОМ,2687,ТВОЈА,2
1,АЕРОДРОМ,2688,ДПА,0
1,АЕРОДРОМ,2688,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2688,КОАЛИЦИЈА МОЖЕМЕ,136
1,АЕРОДРОМ,2688,ЛЕВИЦА,38
1,АЕРОДРОМ,2688,АА / A,0
1,АЕРОДРОМ,2688,ГЛАС ЗА МАКЕДОНИЈА,4
1,АЕРОДРОМ,2688,ГДУ,1
1,АЕРОДРОМ,2688,ИНТЕГРА,10
1,АЕРОДРОМ,2688,ДУИ,0
1,АЕРОДРОМ,2688,СДУ,3
1,АЕРОДРОМ,2688,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2688,МОРО,2
1,АЕРОДРОМ,2688,ВМРО - ДПМНЕ и други,117
1,АЕРОДРОМ,2688,ТВОЈА,2
1,АЕРОДРОМ,2689,ДПА,0
1,АЕРОДРОМ,2689,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2689,КОАЛИЦИЈА МОЖЕМЕ,110
1,АЕРОДРОМ,2689,ЛЕВИЦА,24
1,АЕРОДРОМ,2689,АА / A,0
1,АЕРОДРОМ,2689,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2689,ГДУ,0
1,АЕРОДРОМ,2689,ИНТЕГРА,4
1,АЕРОДРОМ,2689,ДУИ,0
1,АЕРОДРОМ,2689,СДУ,1
1,АЕРОДРОМ,2689,ЕДИНСТВЕНА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2689,МОРО,0
1,АЕРОДРОМ,2689,ВМРО - ДПМНЕ и други,127
1,АЕРОДРОМ,2689,ТВОЈА,1
1,АЕРОДРОМ,2690,ДПА,0
1,АЕРОДРОМ,2690,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2690,КОАЛИЦИЈА МОЖЕМЕ,195
1,АЕРОДРОМ,2690,ЛЕВИЦА,40
1,АЕРОДРОМ,2690,АА / A,0
1,АЕРОДРОМ,2690,ГЛАС ЗА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2690,ГДУ,2
1,АЕРОДРОМ,2690,ИНТЕГРА,8
1,АЕРОДРОМ,2690,ДУИ,0
1,АЕРОДРОМ,2690,СДУ,2
1,АЕРОДРОМ,2690,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2690,МОРО,1
1,АЕРОДРОМ,2690,ВМРО - ДПМНЕ и други,143
1,АЕРОДРОМ,2690,ТВОЈА,3
1,АЕРОДРОМ,2691,ДПА,0
1,АЕРОДРОМ,2691,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2691,КОАЛИЦИЈА МОЖЕМЕ,136
1,АЕРОДРОМ,2691,ЛЕВИЦА,15
1,АЕРОДРОМ,2691,АА / A,0
1,АЕРОДРОМ,2691,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2691,ГДУ,7
1,АЕРОДРОМ,2691,ИНТЕГРА,2
1,АЕРОДРОМ,2691,ДУИ,0
1,АЕРОДРОМ,2691,СДУ,1
1,АЕРОДРОМ,2691,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2691,МОРО,0
1,АЕРОДРОМ,2691,ВМРО - ДПМНЕ и други,102
1,АЕРОДРОМ,2691,ТВОЈА,3
1,АЕРОДРОМ,2692,ДПА,0
1,АЕРОДРОМ,2692,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2692,КОАЛИЦИЈА МОЖЕМЕ,183
1,АЕРОДРОМ,2692,ЛЕВИЦА,41
1,АЕРОДРОМ,2692,АА / A,1
1,АЕРОДРОМ,2692,ГЛАС ЗА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2692,ГДУ,1
1,АЕРОДРОМ,2692,ИНТЕГРА,6
1,АЕРОДРОМ,2692,ДУИ,0
1,АЕРОДРОМ,2692,СДУ,4
1,АЕРОДРОМ,2692,ЕДИНСТВЕНА МАКЕДОНИЈА,0
